City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,giyani,-23.3025,30.7187,35.29,17,4,3.0,ZA,1680963568
152,huarmey,-10.0681,-78.1522,26.13,76,100,2.47,PE,1680963569
153,wabana,47.6332,-52.9481,2.27,68,16,4.02,CA,1680963311
154,kalmunai,7.4167,81.8167,27.67,70,95,3.0,LK,1680963569
155,guerrero negro,27.9769,-114.0611,12.93,85,15,4.5,MX,1680963477
156,kupang,-10.1667,123.5833,24.32,100,100,2.57,ID,1680963569
157,batamshinskiy,50.5594,58.2747,4.84,36,2,6.02,KZ,1680963569
158,darhan,49.4867,105.9228,3.35,57,87,5.0,MN,1680963570
159,lompoc,34.6391,-120.4579,11.07,86,100,3.13,US,1680963570
160,fort saint james,54.4333,-124.25,0.46,97,100,2.68,CA,1680963570
161,auki,-8.7676,160.7034,25.29,88,100,1.08,SB,1680963570
162,vrangel,42.7297,133.0839,2.54,65,8,4.25,RU,1680963570
163,sao joao da barra,-21.6403,-41.0511,29.05,74,85,1.4,BR,1680963570
164,oeiras do para,-2.0031,-49.8544,25.14,91,100,0.31,BR,1680963571
165,togur,58.3631,82.8265,-4.39,94,100,7.16,RU,1680963571
166,russell,32.3502,-85.1999,11.22,87,100,4.12,US,1680963496
167,ukiah,39.1502,-123.2078,7.98,88,100,0.0,US,1680963571
168,girau do ponciano,-9.8842,-36.8289,28.83,65,99,4.87,BR,1680963571
169,san quintin,30.4833,-115.95,12.81,89,0,3.41,MX,1680963572
170,lagoa,39.05,-27.9833,14.02,62,100,8.48,PT,1680963572
171,eureka,40.8021,-124.1637,8.19,96,100,0.45,US,1680963544
172,tairua,-37.0167,175.85,13.88,84,89,1.17,NZ,1680963572
173,onega,63.9061,38.1404,1.99,90,50,1.89,RU,1680963572
174,jau,-22.2964,-48.5578,24.4,72,100,1.77,BR,1680963572
175,mahebourg,-20.4081,57.7,27.36,78,40,3.6,MU,1680963435
176,xiongyue,40.1774,122.1228,9.3,45,0,6.49,CN,1680963573
177,san cristobal,7.7669,-72.225,22.1,64,100,1.67,VE,1680963573
178,khanpur,28.6453,70.6567,32.07,12,1,3.36,PK,1680963573
179,upington,-28.4478,21.2561,29.21,18,20,3.09,ZA,1680963573
180,vestmanna,62.1564,-7.1664,8.51,76,20,11.32,FO,1680963574
181,provideniya,64.3833,-173.3,-27.5,94,30,2.55,RU,1680963483
182,miraflores,19.2167,-98.8083,15.57,52,0,1.2,MX,1680963574
183,gigmoto,13.7796,124.39,25.82,83,49,5.28,PH,1680963574
184,kandi,11.1342,2.9386,41.2,10,98,2.33,BJ,1680963574
185,luderitz,-26.6481,15.1594,20.93,54,100,14.67,NA,1680963574
186,vila franca do campo,37.7167,-25.4333,15.23,55,81,3.27,PT,1680963439
187,meiganga,6.5167,14.3,26.37,46,100,2.09,CM,1680963575
188,tshikapa,-6.4167,20.8,27.8,67,100,2.92,CD,1680963575
189,manbij,36.5281,37.9549,19.29,29,88,1.27,SY,1680963575
190,porangatu,-13.4408,-49.1486,28.17,65,87,1.21,BR,1680963576
191,coihaique,-45.5752,-72.0662,8.34,71,0,5.14,CL,1680963481
192,san jose,37.3394,-121.895,11.51,84,75,2.68,US,1680963460
193,hasaki,35.7333,140.8333,9.22,51,100,3.69,JP,1680963384
194,salinopolis,-0.6136,-47.3561,25.93,86,97,2.17,BR,1680963576
195,maniitsoq,65.4167,-52.9,-2.87,67,1,6.68,GL,1680963576
196,fort frances,48.5999,-93.4003,-2.13,68,0,2.57,CA,1680963486
197,aswan,24.0934,32.907,37.61,15,0,6.17,EG,1680963577
198,port lincoln,-34.7333,135.8667,16.47,63,81,4.57,AU,1680963577
199,rojhan,28.6868,69.9534,32.02,12,3,1.54,PK,1680963577
200,yellowknife,62.456,-114.3525,0.29,86,75,4.63,CA,1680963332
201,havoysund,70.9963,24.6622,3.13,87,100,5.68,NO,1680963578
202,saskylakh,71.9167,114.0833,-18.33,97,100,5.42,RU,1680963578
203,dikson,73.5069,80.5464,-29.82,97,11,1.34,RU,1680963485
204,araria,26.15,87.5167,31.48,12,100,1.36,IN,1680963578
205,freeport,40.6576,-73.5832,7.81,42,0,4.63,US,1680963568
206,pizarro,4.9533,-77.366,26.39,78,94,2.26,CO,1680963578
207,hadishahr,38.8431,45.6635,17.27,19,21,10.37,AZ,1680963579
208,konevo,62.1215,39.3192,4.6,82,6,2.1,RU,1680963579
209,delta del tigre,-34.7633,-56.3853,22.23,60,40,1.03,UY,1680963579
210,ndele,8.4109,20.6473,41.84,8,63,4.72,CF,1680963579
211,muros,42.7762,-9.0603,28.16,66,99,1.76,ES,1680963580
212,east london,-33.0153,27.9116,21.52,88,100,3.6,ZA,1680963580
213,marshalltown,42.0494,-92.908,11.16,59,3,5.49,US,1680963573
214,boa vista,2.8197,-60.6733,28.99,48,0,7.72,BR,1680963495
215,povenets,62.8487,34.8262,1.69,94,94,0.16,RU,1680963580
216,aksarka,66.5606,67.7975,-17.89,90,98,2.02,RU,1680963433
217,alexandria,31.2156,29.9553,26.3,62,100,7.37,EG,1680963580
218,kiunga,-6.1219,141.2906,23.01,100,100,1.11,PG,1680963581
219,arcabuco,5.7546,-73.4367,14.16,83,99,0.43,CO,1680963581
220,basco,20.4487,121.9702,22.94,76,100,12.96,PH,1680963581
221,waingapu,-9.6567,120.2641,25.88,81,100,1.95,ID,1680963581
222,roros,62.5747,11.3842,3.91,56,100,2.06,NO,1680963581
223,pacific grove,36.6177,-121.9166,11.86,93,100,1.54,US,1680963582
224,wexford,52.3342,-6.4575,12.34,89,100,4.47,IE,1680963498
225,hinton,53.4001,-117.5857,-0.71,90,69,2.05,CA,1680963582
226,hamilton,39.1834,-84.5333,7.67,52,0,7.2,US,1680963307
227,seybaplaya,19.65,-90.6667,25.7,74,0,4.11,MX,1680963582
228,shakhovskaya,56.0283,35.5097,10.36,42,22,1.97,RU,1680963582
229,norman wells,65.282,-126.8329,-8.98,79,100,1.03,CA,1680963470
230,mayor pablo lagerenza,-19.9309,-60.7718,27.53,47,1,3.6,PY,1680963583
231,shido,34.3233,134.1733,11.0,54,0,4.72,JP,1680963583
232,nanortalik,60.1432,-45.2371,-1.06,82,100,2.34,GL,1680963419
233,vaitape,-16.5167,-151.75,28.56,75,25,10.34,PF,1680963583
234,trujillo,-8.116,-79.03,26.98,83,100,3.6,PE,1680963521
235,truro,50.2653,-5.0544,12.69,76,20,9.77,GB,1680963584
236,champerico,14.3,-91.9167,27.3,66,5,1.28,GT,1680963584
237,puerto escondido,15.85,-97.0667,27.46,83,0,1.54,MX,1680963388
238,rumphi,-11.0186,33.8575,24.41,73,54,2.84,MW,1680963585
239,tyulgan,52.3405,56.166,3.91,47,0,3.62,RU,1680963553
240,mikuni,36.2171,136.1519,5.95,54,33,7.19,JP,1680963585
241,hella,67.2,14.4333,4.2,92,75,4.63,NO,1680963585
242,huilong,31.8111,121.655,10.52,59,99,3.54,CN,1680963586
243,brokopondo,4.75,-55.1667,26.87,68,98,2.69,SR,1680963586
244,nikolskoye,59.7035,30.7861,11.94,70,37,1.44,RU,1680963486
245,halifax,44.6453,-63.5724,2.34,48,95,7.2,CA,1680963474
246,mantua,45.1667,10.7833,18.58,42,44,0.45,IT,1680963587
247,vanimo,-2.6741,141.3028,25.39,90,100,3.2,PG,1680963587
248,victoria,22.2855,114.1577,21.25,82,60,0.89,HK,1680963244
